كد درس,نام درس,كد ارائه كلاس درس,استاد,زمانبندي تشكيل كلاس,مقطع ارائه درس,نوع درس,تعداد واحد نظري,تعداد واحد عملي
4628102126,آزمايشگاه ريز پردارنده,163330170,مهدي قائمي اميري,سه شنبه  از 14:00 تا 15:30 ,كارشناسي پيوسته,عملي,0,1
4628102126,آزمايشگاه ريز پردارنده,163330169,سميرا خنشاء,يكشنبه  از 17:00 تا 18:30 ,كارشناسي پيوسته,عملي,0,1
4628102126,آزمايشگاه ريز پردارنده,163330168,سميرا خنشاء,شنبه  از 17:00 تا 18:30 ,كارشناسي پيوسته,عملي,0,1
4628101485,آزمايشگاه پايگاه داده,163330167,سميه رحيمي,چهارشنبه  از 09:00 تا 10:30 ,كارشناسي پيوسته,عملي,0,1
4628101485,آزمايشگاه پايگاه داده,163330166,سميه رحيمي,چهارشنبه  از 10:30 تا 12:00 ,كارشناسي پيوسته,عملي,0,1
4628101485,آزمايشگاه پايگاه داده,163330165,سميه رحيمي,چهارشنبه  از 12:30 تا 14:00 ,كارشناسي پيوسته,عملي,0,1
4628101485,آزمايشگاه پايگاه داده,163330164,سميه رحيمي,چهارشنبه  از 14:00 تا 15:30 ,كارشناسي پيوسته,عملي,0,1
4628145941,مباني كامپيوتر و برنامه‌سازي,163330161,سيد ابراهيم دشتي,يكشنبه  از 09:45 تا 12:00 ,كارشناسي پيوسته,نظري,3,0
4628145941,مباني كامپيوتر و برنامه‌سازي,163330160,سيد ابراهيم دشتي,يكشنبه  از 07:30 تا 09:45 ,كارشناسي پيوسته,نظري,3,0
4628145941,مباني كامپيوتر و برنامه‌سازي,163330159,سيد ابراهيم دشتي,شنبه  از 09:45 تا 12:00 ,كارشناسي پيوسته,نظري,3,0
4628145941,مباني كامپيوتر و برنامه‌سازي,163330158,سيد ابراهيم دشتي,شنبه  از 07:30 تا 09:45 ,كارشناسي پيوسته,نظري,3,0
4628182893,كارگاه برنامه نويسي مت لپ,163330157,رويا بهروزي,سه شنبه  از 09:45 تا 12:00 ,كارشناسي پيوسته,عملي,0,1
4628182893,كارگاه برنامه نويسي مت لپ,163330156,رويا بهروزي,دوشنبه  از 09:45 تا 12:00 ,كارشناسي پيوسته,عملي,0,1
4628111667,برنامه‌سازي پيشرفته,163330155,رويا بهروزي,سه شنبه  از 07:30 تا 09:45 ,كارشناسي پيوسته,نظري,3,0
4628111667,برنامه‌سازي پيشرفته,163330154,رويا بهروزي,دوشنبه  از 07:30 تا 09:45 ,كارشناسي پيوسته,نظري,3,0
4628111667,برنامه‌سازي پيشرفته,163330153,رويا بهروزي,يكشنبه  از 09:45 تا 12:00 ,كارشناسي پيوسته,نظري,3,0
4628182893,كارگاه برنامه نويسي مت لپ,163330152,رويا بهروزي,يكشنبه  از 07:30 تا 09:45 ,كارشناسي پيوسته,عملي,0,1
4628132653,ساختمان‌هاي داده,163330151,صديقه طاهري,دوشنبه  از 14:45 تا 17:00 ,كارشناسي پيوسته,نظري,3,0
4628132653,ساختمان‌هاي داده,163330150,صديقه طاهري,دوشنبه  از 12:30 تا 14:45 ,كارشناسي پيوسته,نظري,3,0
4628132653,ساختمان‌هاي داده,163330149,صديقه طاهري,يكشنبه  از 14:45 تا 17:00 ,كارشناسي پيوسته,نظري,3,0
4628132653,ساختمان‌هاي داده,163330148,صديقه طاهري,يكشنبه  از 12:30 تا 14:45 ,كارشناسي پيوسته,نظري,3,0
4628135451,شبكه‌هاي كامپيوتري,163330147,احمد مصلي نژاد,شنبه  از 14:45 تا 17:00 ,كارشناسي پيوسته,نظري,3,0
4628135451,شبكه‌هاي كامپيوتري,163330146,احمد مصلي نژاد,شنبه  از 12:30 تا 14:45 ,كارشناسي پيوسته,نظري,3,0
4628135313,سيگنالها وسيستم ها,163330145,امير رضا استخريان حقيقي,يكشنبه  از 09:45 تا 12:00 ,كارشناسي پيوسته,نظري,3,0
4628135313,سيگنالها وسيستم ها,163330144,امير رضا استخريان حقيقي,يكشنبه  از 07:30 تا 09:45 ,كارشناسي پيوسته,نظري,3,0
4628155511,هوش مصنوعي و سيستم هاي خبره,163330143,الهام پروين نيا,سه شنبه  از 12:30 تا 14:45 ,كارشناسي پيوسته,نظري,3,0
4628155511,هوش مصنوعي و سيستم هاي خبره,163330142,الهام پروين نيا,سه شنبه  از 07:30 تا 09:45 ,كارشناسي پيوسته,نظري,3,0
4628164509,مباني بازبابي اطلاعات وجستجوي وب,163330141,مهدي محرابي,سه شنبه  از 14:45 تا 17:00 ,كارشناسي پيوسته,نظري,3,0
4628164509,مباني بازبابي اطلاعات وجستجوي وب,163330140,مهدي محرابي,سه شنبه  از 12:30 تا 14:45 ,كارشناسي پيوسته,نظري,3,0
4628105622,اصول طراحي كامپايلر,163330139,فرزاد قهرماني,سه شنبه  از 07:30 تا 09:45 ,كارشناسي پيوسته,نظري,3,0
4628105622,اصول طراحي كامپايلر,163330138,فرزاد قهرماني,دوشنبه  از 09:45 تا 12:00 ,كارشناسي پيوسته,نظري,3,0
4628105622,اصول طراحي كامپايلر,163330137,فرزاد قهرماني,دوشنبه  از 07:30 تا 09:45 ,كارشناسي پيوسته,نظري,3,0
4628130341,ريزپردازنده و زبان اسمبلي,163330136,محمد علي اسدي,سه شنبه  از 09:45 تا 12:00 ,كارشناسي پيوسته,نظري,3,0
4628130341,ريزپردازنده و زبان اسمبلي,163330135,محمد علي اسدي,سه شنبه  از 07:30 تا 09:45 ,كارشناسي پيوسته,نظري,3,0
4628130341,ريزپردازنده و زبان اسمبلي,163330134,محمد علي اسدي,دوشنبه  از 09:45 تا 12:00 ,كارشناسي پيوسته,نظري,3,0
4628130341,ريزپردازنده و زبان اسمبلي,163330133,محمد علي اسدي,دوشنبه  از 07:30 تا 09:45 ,كارشناسي پيوسته,نظري,3,0
4628147873,مدارهاي منطقي,163330132,محمدامين شايگان,شنبه  از 14:45 تا 17:00 ,كارشناسي پيوسته,نظري,3,0
4628147873,مدارهاي منطقي,163330131,محمدامين شايگان,شنبه  از 12:30 تا 14:45 ,كارشناسي پيوسته,نظري,3,0
4628150474,معماري‌ كامپيوتر,163330130,محمد علي تبرزد,يكشنبه  از 07:30 تا 09:45 ,كارشناسي پيوسته,نظري,3,0
4628153620,نظريه زبان‌ها و ماشين‌ها,163330129,كاظم براتي مهر,سه شنبه  از 09:45 تا 12:00 ,كارشناسي پيوسته,نظري,3,0
4628153620,نظريه زبان‌ها و ماشين‌ها,163330128,كاظم براتي مهر,سه شنبه  از 07:30 تا 09:45 ,كارشناسي پيوسته,نظري,3,0
4628153620,نظريه زبان‌ها و ماشين‌ها,163330127,كاظم براتي مهر,شنبه  از 09:45 تا 12:00 ,كارشناسي پيوسته,نظري,3,0
4628153620,نظريه زبان‌ها و ماشين‌ها,163330126,كاظم براتي مهر,شنبه  از 07:30 تا 09:45 ,كارشناسي پيوسته,نظري,3,0
4628137355,طراحي زبان هاي برنامه سازي,163330125,غلامرضا ستوده,دوشنبه  از 12:30 تا 14:45 ,كارشناسي پيوسته,نظري,3,0
4628137355,طراحي زبان هاي برنامه سازي,163330124,غلامرضا ستوده,شنبه  از 12:30 تا 14:45 ,كارشناسي پيوسته,نظري,3,0
1398107859,آمار واحتمالات‌ مهندسي,523175175462,,پنج شنبه  از 12:30 تا 14:45 ,كارشناسي پيوسته,نظري,3,0
1398107859,آمار واحتمالات‌ مهندسي,523175175461,,پنج شنبه  از 09:45 تا 12:00 ,كارشناسي پيوسته,نظري,3,0
1398107859,آمار واحتمالات‌ مهندسي,523175175460,,پنج شنبه  از 07:30 تا 09:45 ,كارشناسي پيوسته,نظري,3,0
55005,آمار و احتمال (پيش نياز دانشگاهي),523175175457,,چهارشنبه  از 15:30 تا 17:00 ,كارشناسي پيوسته,نظري,2,0
55005,آمار و احتمال (پيش نياز دانشگاهي),523175175455,,چهارشنبه  از 14:00 تا 15:30 ,كارشناسي پيوسته,نظري,2,0
55005,آمار و احتمال (پيش نياز دانشگاهي),523175175454,,چهارشنبه  از 12:30 تا 14:00 ,كارشناسي پيوسته,نظري,2,0
6138150350,معادلات‌ ديفرانسيل‌,523175175450,سارا فناطي رشيدي,يكشنبه  از 07:30 تا 09:45 ,كارشناسي ناپيوسته,نظري,3,0
6138150350,معادلات‌ ديفرانسيل‌,523175175448,الهام رحيمي,شنبه  از 09:45 تا 12:00 ,كارشناسي پيوسته,نظري,3,0
6138150350,معادلات‌ ديفرانسيل‌,523175175446,الهام رحيمي,شنبه  از 07:30 تا 09:45 ,كارشناسي ناپيوسته,نظري,3,0
4628150360,معادلات ديفرانسل,523175175444,سارا فناطي رشيدي,يكشنبه  از 09:45 تا 12:00 ,كارشناسي پيوسته,نظري,3,0
4628150360,معادلات ديفرانسل,523175175441,سارا فناطي رشيدي,يكشنبه  از 07:30 تا 09:45 ,كارشناسي پيوسته,نظري,3,0
4628150360,معادلات ديفرانسل,523175175439,الهام رحيمي,شنبه  از 09:45 تا 12:00 ,كارشناسي پيوسته,نظري,3,0
4628150360,معادلات ديفرانسل,523175175437,الهام رحيمي,شنبه  از 07:30 تا 09:45 ,كارشناسي پيوسته,نظري,3,0
4628129685,رياضي‌عمومي‌ 2,523175175434,سارا فناطي رشيدي,شنبه  از 07:30 تا 09:30 دوشنبه  از 07:30 تا 09:30 ,كارشناسي پيوسته,نظري,3,0
4628129685,رياضي‌عمومي‌ 2,523175175432,زهرا كمالي,دوشنبه  از 09:30 تا 11:30 سه شنبه  از 09:30 تا 11:30 ,كارشناسي پيوسته,نظري,3,0
4628129685,رياضي‌عمومي‌ 2,523175175431,مريم سپاسي,يكشنبه  از 12:30 تا 14:30 سه شنبه  از 12:30 تا 14:30 ,كارشناسي پيوسته,نظري,3,0
4628129685,رياضي‌عمومي‌ 2,523175175428,خديجه جاهدي,يكشنبه  از 08:00 تا 10:00 سه شنبه  از 08:00 تا 10:00 ,كارشناسي پيوسته,نظري,3,0
4628165140,رياضي عمومي 1,523175175423,زهرا كمالي,دوشنبه  از 07:30 تا 09:30 سه شنبه  از 07:30 تا 09:30 ,كارشناسي پيوسته,نظري,3,0
4628165140,رياضي عمومي 1,523175175421,مريم سپاسي,يكشنبه  از 14:30 تا 16:30 سه شنبه  از 14:30 تا 16:30 ,كارشناسي پيوسته,نظري,3,0
4628165140,رياضي عمومي 1,523175175419,مريم سپاسي,يكشنبه  از 10:00 تا 12:00 سه شنبه  از 10:00 تا 12:00 ,كارشناسي پيوسته,نظري,3,0
4628165140,رياضي عمومي 1,523175175417,مهسا فاتحي,يكشنبه  از 09:30 تا 11:30 سه شنبه  از 09:30 تا 11:30 ,كارشناسي پيوسته,نظري,3,0
4628165140,رياضي عمومي 1,523175175415,مهسا فاتحي,يكشنبه  از 07:30 تا 09:30 سه شنبه  از 07:30 تا 09:30 ,كارشناسي پيوسته,نظري,3,0
55001,رياضيات پايه(پيش نياز دانشگاهي),523175175411,,,كارشناسي پيوسته,نظري,2,0
55001,رياضيات پايه(پيش نياز دانشگاهي),523175175409,مهسا فاتحي,دوشنبه  از 10:30 تا 12:00 ,كارشناسي پيوسته,نظري,2,0
55001,رياضيات پايه(پيش نياز دانشگاهي),523175175408,محمدهادي هوشمند,دوشنبه  از 07:30 تا 09:00 ,كارشناسي پيوسته,نظري,2,0
55001,رياضيات پايه(پيش نياز دانشگاهي),523175175407,مهسا فاتحي,دوشنبه  از 09:00 تا 10:30 ,كارشناسي پيوسته,نظري,2,0
4628127605,روش پژوهش و ارايه,163330119,امين اسكندري,سه شنبه  از 07:30 تا 09:00 ,كارشناسي پيوسته,نظري,2,0
4628127605,روش پژوهش و ارايه,163330118,امين اسكندري,يكشنبه  از 09:00 تا 10:30 ,كارشناسي پيوسته,نظري,2,0
4628169362,سيستم هاي عامل,163330117,مهدي صفرپور,سه شنبه  از 09:45 تا 12:00 ,كارشناسي پيوسته,نظري,3,0
4628169362,سيستم هاي عامل,163330116,مهدي صفرپور,سه شنبه  از 07:30 تا 09:45 ,كارشناسي پيوسته,نظري,3,0
4628169362,سيستم هاي عامل,163330115,مهدي صفرپور,دوشنبه  از 09:45 تا 12:00 ,كارشناسي پيوسته,نظري,3,0
4628169362,سيستم هاي عامل,163330114,مهدي صفرپور,دوشنبه  از 07:30 تا 09:45 ,كارشناسي پيوسته,نظري,3,0
4628181643,پياده سازي سيستم پايگاه داده,163330113,وحيد صفاري,سه شنبه  از 12:30 تا 14:45 ,كارشناسي پيوسته,نظري,3,0
4628181643,پياده سازي سيستم پايگاه داده,163330112,وحيد صفاري,دوشنبه  از 12:30 تا 14:45 ,كارشناسي پيوسته,نظري,3,0
4628164737,مهندسي نرم افراز,163330111,وحيد صفاري,سه شنبه  از 09:45 تا 12:00 ,كارشناسي پيوسته,نظري,3,0
4628164737,مهندسي نرم افراز,163330110,وحيد صفاري,سه شنبه  از 07:30 تا 09:45 ,كارشناسي پيوسته,نظري,3,0
4628164737,مهندسي نرم افراز,163330109,وحيد صفاري,دوشنبه  از 09:45 تا 12:00 ,كارشناسي پيوسته,نظري,3,0
4628164737,مهندسي نرم افراز,163330108,وحيد صفاري,دوشنبه  از 07:30 تا 09:45 ,كارشناسي پيوسته,نظري,3,0
4628130407,زبان‌تخصصي‌,163330107,امين طوسي,سه شنبه  از 09:00 تا 10:30 ,كارشناسي پيوسته,نظري,2,0
4628130407,زبان‌تخصصي‌,163330106,امين طوسي,سه شنبه  از 07:30 تا 09:00 ,كارشناسي پيوسته,نظري,2,0
4628130407,زبان‌تخصصي‌,163330105,امين طوسي,دوشنبه  از 09:00 تا 10:30 ,كارشناسي پيوسته,نظري,2,0
4628130407,زبان‌تخصصي‌,163330104,امين طوسي,دوشنبه  از 07:30 تا 09:00 ,كارشناسي پيوسته,نظري,2,0
4628130407,زبان‌تخصصي‌,163330103,امين طوسي,يكشنبه  از 10:30 تا 12:00 ,كارشناسي پيوسته,نظري,2,0
4628130407,زبان‌تخصصي‌,163330102,امين طوسي,يكشنبه  از 09:00 تا 10:30 ,كارشناسي پيوسته,نظري,2,0
4628130407,زبان‌تخصصي‌,163330101,امين طوسي,يكشنبه  از 07:30 تا 09:00 ,كارشناسي پيوسته,نظري,2,0
99062,ورزش 1,523175175364,,,كارشناسي ناپيوسته,عملي,0,1
5990156275,كارآفريني,821-31,بهادر پرهيزگاري,دوشنبه  از 09:45 تا 12:00 ,كارداني پيوسته,نظري_عملي,1,1
5990130423,زبان‌ فني‌,821-30,حميد سلطاني,شنبه  از 14:30 تا 16:00 ,كارداني پيوسته,نظري,2,0
5990111675,برنامه‌نويسي مبتني بر وب,821-29,مهدي نصيري نوروزاني,سه شنبه  از 10:30 تا 12:00 ,كارداني پيوسته,نظري_عملي,1,1
5990132559,ساختمان‌داده‌ها,821-28,,,كارداني پيوسته,نظري,3,0
5990181265,برنامه نويسي سخت افزار,821-27,,سه شنبه  از 14:30 تا 16:00 ,كارداني پيوسته,نظري_عملي,1,1
5990103163,آزمايشگاه نرم‌افزارهاي گرافيكي,821-26,آرزو خسروي,سه شنبه  از 14:30 تا 16:00 ,كارداني پيوسته,عملي,0,1
5990103163,آزمايشگاه نرم‌افزارهاي گرافيكي,821-25,آرزو خسروي,سه شنبه  از 13:00 تا 14:30 ,كارداني پيوسته,عملي,0,1
5990181618,سيستم هاي مديريت محتوا,821-24,آيدين برزگر,سه شنبه  از 10:30 تا 12:00 ,كارداني پيوسته,نظري_عملي,1,1
5990102228,آزمايشگاه سيستم عامل,821-22,آيدين برزگر,سه شنبه  از 09:00 تا 10:30 ,كارداني پيوسته,عملي,0,1
326100221,مباني برنامه نويسي و ويژوال بيسيك (جبراني),821-23,آيدين برزگر,سه شنبه  از 07:30 تا 09:00 ,كارداني پيوسته,نظري,2,0
5990147736,مدار منطقي,821-21,,دوشنبه  از 14:30 تا 16:00 ,كارداني پيوسته,نظري,2,0
5990181263,برنامه نويسي موبايل 2,821-19,مهدي بردبار,دوشنبه  از 13:00 تا 15:15 ,كارداني پيوسته,نظري_عملي,1,1
55100,مباني كامپيوتر و كارگاه (جبراني),821-18,سميه حق طلبي,دوشنبه  از 09:45 تا 12:00 ,كارداني پيوسته,نظري,2,1
5990159901,كارگاه شبكه هاي كامپيوتري,821-17,سميه حق طلبي,دوشنبه  از 07:30 تا 09:00 ,كارداني پيوسته,عملي,0,1
5990181259,برنامه نويسي موبايل 1,821-16,مهدي بردبار,دوشنبه  از 09:45 تا 12:00 ,كارداني پيوسته,نظري_عملي,1,1
5990181258,نرم افزارهاي توسعه موبايل,821-15,مهدي بردبار,دوشنبه  از 07:30 تا 09:00 ,كارداني پيوسته,عملي,0,1
5990138014,طراحي وب,821-14,,يكشنبه  از 09:45 تا 12:00 ,كارداني پيوسته,نظري_عملي,1,1
5990147565,محيط‌ هاي‌ چندرسانه‌ اي‌,821-13,سميه حق طلبي,يكشنبه  از 07:30 تا 09:45 ,كارداني پيوسته,نظري_عملي,1,1
5990181252,بازاريابي مجازي,821-12,علي حيدر زادگان,يكشنبه  از 15:15 تا 17:30 ,كارداني پيوسته,نظري_عملي,1,1
5990181253,تجاري سازي محصول,821-12,علي حيدر زادگان,يكشنبه  از 13:00 تا 15:15 ,كارداني پيوسته,نظري_عملي,1,1
5990134775,سيستم عامل,821-11,آيدين برزگر,سه شنبه  از 12:30 تا 14:00 ,كارداني پيوسته,نظري,2,0
5990101495,آزمايشگاه پايگاه‌ داده‌ها,821-10,سميه حق طلبي,يكشنبه  از 09:45 تا 12:00 ,كارداني پيوسته,عملي,0,2
5990114001,پايگاه‌داده‌ها,821-9,امين اسكندري,يكشنبه  از 07:30 تا 09:00 ,كارداني پيوسته,نظري,2,0
5990111667,برنامه‌سازي پيشرفته,821-8,سيد سجاد مويد,شنبه  از 15:15 تا 17:30 ,كارداني پيوسته,نظري_عملي,1,1
5990111667,برنامه‌سازي پيشرفته,821-7,سيد سجاد مويد,شنبه  از 13:00 تا 15:15 ,كارداني پيوسته,نظري_عملي,1,1
5990181277,مباحث ويژه در برنامه نويسي,821-6,سيد سجاد مويد,شنبه  از 09:45 تا 12:00 ,كارداني پيوسته,نظري_عملي,1,1
5990181277,مباحث ويژه در برنامه نويسي,821-5,سيد سجاد مويد,شنبه  از 07:30 تا 09:45 ,كارداني پيوسته,نظري_عملي,1,1
5990181256,كار راه شغلي,821-4,بهادر پرهيزگاري,دوشنبه  از 07:30 تا 09:00 ,كارداني پيوسته,نظري,2,0
5990171998,تجزيه و تحليل سيستم ها,821-3,سميه حق طلبي,شنبه  از 10:30 تا 12:00 ,كارداني پيوسته,نظري,2,0
7000004963,بسته هاي نرم افزاري,821-2,سميه حق طلبي,شنبه  از 09:00 تا 10:30 ,كارداني پيوسته,نظري,2,0
5990145174,مباني شبكه‌هاي كامپيوتري,821-1,سميه حق طلبي,شنبه  از 07:30 تا 09:00 ,كارداني پيوسته,نظري,2,0
6138207662,طراحي كامپايلر,523175175323,,سه شنبه  از 09:45 تا 12:30 ,كارشناسي ناپيوسته,نظري,3,0
90755,انقلاب اسلامي ايران,163175175322,,,كارشناسي ناپيوسته,نظري,2,0
1884102914,آزمايشگاه مهندسي نرم افزار,163175175321,,سه شنبه  از 07:30 تا 09:00 ,كارشناسي ناپيوسته,عملي,0,1
6138207657,آزمايشگاه هوش مصنوعي,163175175320,,,كارشناسي ناپيوسته,كارگاهي,0,1
6138155491,هوش مصنوعي,163175175319,,,كارشناسي ناپيوسته,نظري,3,0
6138181288,اينترنت اشيا,163330381,,دوشنبه  از 07:30 تا 10:30 ,كارشناسي ناپيوسته,آزمايشگاهي,2,1
,,,,,,,,
