ردیف,كد,نام,نوع درس,مقطع درس,تعداد واحد نظري,تعداد واحد عملي,تعداد ساعت نظري,تعداد ساعت عملي,مرجع تصويب درس
1,55006,زبان فارسی (پیش نیاز دانشگاهی),نظري,,2,0,32,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
2,55005,آمار و احتمال (پیش نیاز دانشگاهی),نظري,,2,0,32,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
3,55004,زبان انگلیسی  (پیش نیاز دانشگاهی),نظري,,2,0,32,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
4,55001,ریاضیات پایه(پیش نیاز دانشگاهی),نظري,,2,0,32,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
5,6138150350,معادلات‌ دیفرانسیل‌,نظري,,3,0,48,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
6,99083,انس با قرآن کریم,نظري,,1,0,32,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
7,100002,کارآموزی طرح پویش (3) کاردانی و کارشناسی,كارآموزي,,0,2,0,240,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
8,5990114704,پروژه,عملي,,0,2,32,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
9,5990156372,کارآموزی,كارآموزي,,0,2,32,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
10,5971156433,کارآموزی 2,كارآموزي,,0,1,0,120,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
11,5865156371,کاراموزی 1,كارآموزي,,0,1,0,120,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
12,4293183688,پروژه نرم افزار,عملي,,0,3,0,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
13,5865156433,کارآموزی 2,كارآموزي,,0,1,0,120,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
14,4628182893,کارگاه برنامه نویسی مت لپ,عملي,,0,1,0,48,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
15,4628183688,پروژه نرم افزار,عملي,,0,3,0,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
16,4628156372,کارآموزی,كارآموزي,,0,1,0,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
17,4628129896,ریاضیات مهندسی,نظري,,3,0,48,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
18,4628111667,برنامه‌سازی پیشرفته,نظري,,3,0,48,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
19,4628145941,مبانی کامپیوتر و برنامه‌سازی,نظري,,3,0,48,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
20,4628150360,معادلات دیفرانسل,نظري,,3,0,48,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
21,4628141492,فیزیک 2,نظري,,3,0,48,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
22,4628129685,ریاضی‌عمومی‌ 2,نظري,,3,0,48,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
23,4628165140,ریاضی عمومی 1,نظري,,3,0,48,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
24,5666124291,حقوق مدنی 7 عقود معین قسمت ب,نظري,,3,0,48,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
25,99081,آشنایی با قرآن کریم,نظري,,1,0,16,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
26,99079,تربیت بدنی,نظري_عملي,,0.50,0.50,8,16,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
27,99073,اندیشه ها و وصایای امام خمینی(ره),نظري,,1,0,32,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
28,99062,ورزش 1,عملي,,0,1,0,32,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
29,98961,اخلاق اسلامی (مبانی و مفاهیم),نظري,,2,0,32,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
30,98841,اندیشه اسلامی 2‌ (نبوت و امامت),نظري,,2,0,32,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
31,1537156433,کارآموزی 2,كارآموزي,,0,2,0,240,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
32,1537115052,پروژه نهایی,عملي,,0,2,0,136,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
33,90610,اندیشه اسلامی 1 (مبدا ومعاد),نظري,,2,0,32,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
34,1603156372,کارآموزی,كارآموزي,,0,1,0,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
35,1399156372,کارآموزی,كارآموزي,,0,3,0,360,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
36,1399107851,آمار و احتمات مهندسی,نظري,,2,0,32,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
37,1399129689,ریاضی‌ مهندسی‌,نظري,,2,0,32,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
38,4293150360,معادلات دیفرانسیل,نظري,,2,0,32,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
39,90121,تاریخ امامت,نظري,,2,0,32,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
40,90568,وصایای حضرت امام (ره ),نظري,,1,0,16,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
41,90881,آشنایی با دفاع مقدس,نظري,,2,0,32,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
42,1884183688,پروژه نرم افزار,عملي,,0,3,0,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
43,90755,انقلاب اسلامی ایران,نظري,,2,0,32,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
44,1399150350,معادلات‌ دیفرانسیل‌,نظري,,2,0,32,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
45,92381,تاریخ فرهنگ و تمدن اسلام و ایران,نظري,,2,0,32,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
46,1884129896,ریاضیات مهندسی,نظري,,3,0,48,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
47,92608,ریاضی‌عمومی‌ 2,نظري,,3,0,48,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
48,1603114947,پروژه فناوری اطلاعات,عملي,,0,3,0,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
49,1884156372,کارآموزی,كارآموزي,,0,1,0,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
50,4293156372,کارآموزی,كارآموزي,,0,3,0,360,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
51,90180,زبان خارجی,نظري,,3,0,48,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
52,1587156372,کارآموزی,كارآموزي,,0,2,0,240,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
53,90044,اخلاق وتربیت اسلامی,نظري,,2,0,32,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
54,4434106071,اصول مهندسی تونل,نظري,,2,0,32,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
55,90763,تفسیر موضوعی قرآن,نظري,,2,0,32,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
56,90128,دانش خانواده و جمعیت,نظري,,2,0,32,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
57,1398107859,آمار واحتمالات‌ مهندسی,نظري,,3,0,51,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
58,1399183688,پروژه نرم افزار,عملي,,0,3,0,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
59,90029,فارسی,نظري,,3,0,48,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
